transaction_id,customer_id,product_id,quantity,purchase_date,total_price
T00103,C0124,P069,3,2024-10-15,4276.8
T00104,C0095,P023,1,2023-12-25,361.25
T00105,C0103,P074,3,2023-12-01,776.97
T00106,C0028,P060,3,2023-05-04,1228.68
T00107,C0223,P012,3,2024-02-06,3796.05
T00108,C0069,P012,2,2023-12-28,2530.7
T00109,C0173,P080,2,2024-05-09,1440.88
T00110,C0173,P013,2,2024-01-23,2847.1
T00111,C0276,P066,1,2024-09-09,2055.36
T00112,C0233,P052,1,2024-05-26,558.67
T00113,C0264,P019,1,2024-05-31,1558.65
T00114,C0031,P046,2,2024-02-07,2053.54
T00115,C0161,P008,3,2024-12-09,7328.25
T00116,C0023,P030,2,2024-10-01,1358.1
T00117,C0284,P081,2,2023-07-13,979.86
T00118,C0086,P034,2,2023-01-31,1068.34
T00119,C0164,P013,3,2024-08-06,4270.65
T00120,C0090,P058,2,2023-02-24,1993.94
T00121,C0272,P038,1,2023-12-15,2375.73
T00122,C0121,P024,1,2023-06-20,178.4
T00123,C0224,P029,2,2024-09-24,811.34
T00124,C0172,P004,2,2024-07-13,4001.38
T00125,C0104,P093,3,2024-02-21,925.83
T00126,C0187,P061,1,2023-07-19,617.77
T00127,C0281,P025,1,2023-01-20,634.76
T00128,C0029,P030,1,2023-05-11,679.05
T00129,C0267,P042,3,2024-06-26,6439.35
T00130,C0118,P090,3,2024-01-22,1949.49
T00131,C0231,P046,3,2023-04-22,3080.31
T00132,C0213,P059,3,2024-01-25,1654.23
T00133,C0014,P096,1,2024-02-17,496.55
T00134,C0065,P012,3,2024-07-31,3796.05
T00135,C0040,P005,2,2023-03-12,1183.26
T00136,C0274,P004,1,2023-01-09,2000.69
T00137,C0286,P044,3,2024-09-25,8516.97
T00138,C0001,P055,3,2024-12-09,1803.87
T00139,C0199,P006,2,2023-12-13,2909.06
T00140,C0259,P022,2,2024-12-12,1461.28
T00141,C0300,P005,3,2024-05-12,1774.89
T00142,C0140,P007,2,2023-06-14,6555.34
T00143,C0147,P039,1,2024-03-12,448.6
T00144,C0102,P039,2,2024-09-20,897.2
T00145,C0189,P051,3,2023-05-16,1248.93
T00146,C0299,P014,2,2024-05-11,3813.98
T00147,C0146,P030,1,2024-10-13,679.05
T00148,C0273,P089,1,2024-07-13,367.61
T00149,C0192,P004,2,2024-04-04,4001.38
T00150,C0246,P005,2,2024-07-13,1183.26
T00151,C0213,P055,1,2024-10-20,601.29
T00152,C0266,P048,2,2023-12-30,5344.36
T00153,C0259,P026,2,2024-06-23,761.78
T00154,C0287,P034,1,2024-12-07,534.17
T00155,C0171,P075,3,2023-09-06,1462.92
T00156,C0124,P036,2,2023-11-27,7163.38
T00157,C0078,P010,2,2024-04-16,4295.26
T00158,C0057,P008,2,2024-02-23,4885.5
T00159,C0228,P057,2,2024-02-07,1093.04
T00160,C0019,P050,2,2024-02-06,1674.44
T00161,C0207,P027,2,2023-11-25,656.8
T00162,C0004,P013,3,2023-06-26,4270.65
T00163,C0079,P001,1,2023-12-17,2184.43
T00164,C0277,P021,2,2024-10-28,1392.98
T00165,C0123,P025,3,2024-02-08,1904.28
T00166,C0233,P023,1,2023-09-05,361.25
T00167,C0260,P056,1,2024-12-08,973.6
T00168,C0106,P069,1,2023-01-14,1425.6
T00169,C0227,P016,3,2023-04-07,4291.86
T00170,C0300,P017,1,2024-02-06,1296.99
T00171,C0268,P014,2,2024-07-08,3813.98
T00172,C0073,P039,2,2023-10-21,897.2
T00173,C0138,P028,1,2023-08-05,197.46
T00174,C0031,P035,2,2023-03-23,5525.82
T00175,C0107,P065,1,2024-08-26,1692.77
T00176,C0027,P079,1,2023-10-14,726.98
T00177,C0063,P048,1,2024-05-23,2672.18
T00178,C0079,P005,3,2023-11-09,1774.89
T00179,C0280,P001,3,2023-07-02,6553.29
T00180,C0070,P012,1,2024-05-27,1265.35
T00181,C0016,P003,2,2024-06-28,2401.96
T00182,C0232,P063,1,2023-07-29,1974.56
T00183,C0286,P048,1,2023-07-16,2672.18
T00184,C0060,P037,1,2024-09-17,3894.33
T00185,C0297,P013,1,2024-05-18,1423.55
T00186,C0204,P087,3,2024-10-28,4628.04
T00187,C0266,P055,1,2024-07-21,601.29
T00188,C0195,P026,3,2024-01-04,1142.67
T00189,C0180,P098,1,2023-05-21,477.88
T00190,C0086,P032,1,2023-08-31,1625.32
T00191,C0210,P066,2,2023-05-20,4110.72
T00192,C0002,P056,3,2023-08-19,2920.8
T00193,C0287,P024,3,2023-11-29,535.2
T00194,C0073,P032,3,2023-12-30,4875.96
T00195,C0252,P041,3,2023-05-21,8121.42
T00196,C0167,P049,2,2024-06-22,2393.26
T00197,C0054,P095,3,2024-06-15,179.82
T00198,C0027,P069,2,2024-04-07,2851.2
T00199,C0022,P052,3,2024-05-15,1676.01
T00200,C0141,P012,1,2023-10-23,1265.35
T00201,C0193,P048,1,2024-08-14,2672.18
T00202,C0062,P039,2,2024-03-13,897.2
T00203,C0209,P085,2,2024-12-30,2745.06
T00204,C0180,P098,1,2023-11-21,477.88
T00205,C0212,P029,3,2023-04-04,1217.01
T00206,C0121,P080,2,2023-02-05,1440.88
T00207,C0265,P027,2,2023-02-25,656.8
T00208,C0206,P093,1,2024-03-21,308.61
T00209,C0109,P021,3,2023-08-17,2089.47
T00210,C0030,P029,1,2024-08-05,405.67
T00211,C0191,P072,2,2023-10-28,1143.96
T00212,C0043,P057,2,2023-03-16,1093.04
T00213,C0082,P066,2,2023-04-29,4110.72
T00214,C0053,P100,3,2024-12-03,248.73
T00215,C0132,P086,3,2024-02-13,694.62
T00216,C0170,P040,3,2024-04-10,1179.15
T00217,C0047,P038,3,2024-03-20,7127.19
T00218,C0206,P042,1,2024-02-09,2146.45
T00219,C0040,P008,1,2024-04-29,2442.75
T00220,C0192,P053,3,2024-11-14,2166.57
T00221,C0123,P021,1,2024-07-25,696.49
T00222,C0088,P011,3,2024-03-27,3936.27
T00223,C0101,P040,1,2023-07-30,393.05
T00224,C0013,P022,1,2024-08-29,730.64
T00225,C0046,P077,3,2024-09-24,2187.87
T00226,C0171,P075,3,2024-12-10,1462.92
T00227,C0021,P040,2,2023-01-02,786.1
T00228,C0236,P043,1,2023-07-30,1348.07
T00229,C0240,P036,3,2023-03-09,10745.07
T00230,C0271,P092,2,2023-12-28,488.96
T00231,C0267,P033,1,2023-12-06,3444.14
T00232,C0115,P071,2,2024-08-01,739.42
T00233,C0071,P011,2,2024-12-04,2624.18
T00234,C0029,P027,2,2023-08-28,656.8
T00235,C0075,P044,3,2023-06-18,8516.97
T00236,C0245,P006,1,2023-12-02,1454.53
T00237,C0027,P074,1,2023-09-16,258.99
T00238,C0198,P001,3,2023-04-23,6553.29
T00239,C0235,P043,3,2023-06-11,4044.21
T00240,C0257,P014,2,2024-08-31,3813.98
T00241,C0054,P017,3,2024-10-04,3890.97
T00242,C0193,P026,1,2024-09-22,380.89
T00243,C0169,P079,2,2023-09-21,1453.96
T00244,C0154,P018,1,2023-08-09,1835.78
T00245,C0133,P087,3,2024-12-06,4628.04
T00246,C0038,P032,3,2024-11-30,4875.96
T00247,C0039,P053,3,2024-03-07,2166.57
T00248,C0089,P086,3,2023-10-20,694.62
T00249,C0127,P018,2,2023-12-13,3671.56
T00250,C0253,P014,3,2023-08-23,5720.97
T00251,C0147,P006,1,2024-10-07,1454.53
T00252,C0111,P028,2,2023-05-08,394.92
T00253,C0078,P065,3,2023-01-10,5078.31
T00254,C0018,P003,1,2024-05-04,1200.98
T00255,C0211,P085,2,2024-06-19,2745.06
T00256,C0289,P098,2,2023-04-22,955.76
T00257,C0173,P031,1,2023-09-07,3222.65
T00258,C0276,P084,3,2024-01-01,2245.95
T00259,C0100,P052,3,2024-05-18,1676.01
T00260,C0009,P061,3,2024-08-30,1853.31
T00261,C0135,P028,2,2023-10-17,394.92
T00262,C0290,P007,1,2024-07-08,3277.67
T00263,C0187,P024,1,2023-06-25,178.4
T00264,C0011,P010,3,2023-01-25,6442.89
T00265,C0216,P028,1,2024-07-01,197.46
T00266,C0221,P038,3,2023-09-24,7127.19
T00267,C0088,P050,1,2024-08-20,837.22
T00268,C0120,P012,2,2023-01-17,2530.7
T00269,C0017,P008,2,2023-06-20,4885.5
T00270,C0110,P077,2,2024-09-28,1458.58
T00271,C0295,P052,1,2024-02-18,558.67
T00272,C0187,P032,3,2023-10-14,4875.96
T00273,C0222,P007,1,2024-12-24,3277.67
T00274,C0149,P031,3,2024-08-13,9667.95
T00275,C0285,P028,2,2023-02-05,394.92
T00276,C0118,P034,2,2023-09-09,1068.34
T00277,C0182,P005,1,2024-01-15,591.63
T00278,C0236,P019,3,2023-11-23,4675.95
T00279,C0081,P071,3,2024-01-08,1109.13
T00280,C0050,P008,2,2023-01-29,4885.5
T00281,C0128,P097,1,2024-07-15,460.69
T00282,C0014,P021,1,2023-01-27,696.49
T00283,C0038,P039,3,2024-06-20,1345.8
T00284,C0006,P044,3,2024-05-22,8516.97
T00285,C0196,P024,1,2024-10-20,178.4
T00286,C0134,P048,1,2023-01-27,2672.18
T00287,C0059,P069,1,2024-02-03,1425.6
T00288,C0275,P031,1,2024-03-05,3222.65
T00289,C0047,P027,3,2023-11-04,985.2
T00290,C0127,P016,3,2024-10-26,4291.86
T00291,C0209,P057,3,2023-02-10,1639.56
T00292,C0216,P032,2,2023-05-25,3250.64
T00293,C0163,P036,2,2024-12-13,7163.38
T00294,C0296,P043,2,2024-11-13,2696.14
T00295,C0261,P003,2,2024-09-11,2401.96
T00296,C0193,P020,2,2023-12-05,2366.16
T00297,C0203,P100,3,2023-08-21,248.73
T00298,C0148,P030,1,2024-03-28,679.05
T00299,C0139,P039,2,2024-01-14,897.2
T00300,C0207,P003,1,2023-04-16,1200.98
T00301,C0275,P015,1,2023-07-03,892.75
T00302,C0092,P027,2,2023-10-28,656.8
T00303,C0162,P033,3,2023-05-19,10332.42
T00304,C0087,P005,1,2023-09-05,591.63
T00305,C0292,P091,1,2024-02-14,225.89
T00306,C0297,P058,3,2024-07-21,2990.91
T00307,C0224,P029,1,2024-11-14,405.67
T00308,C0148,P025,2,2023-11-26,1269.52
T00309,C0284,P072,1,2023-07-07,571.98
T00310,C0188,P019,3,2023-10-01,4675.95
T00311,C0095,P039,2,2024-09-27,897.2
T00312,C0053,P098,1,2024-03-31,477.88
T00313,C0215,P007,3,2024-04-25,9833.01
T00314,C0170,P078,3,2024-09-23,882.63
T00315,C0004,P096,1,2024-11-15,496.55
T00316,C0062,P037,3,2023-05-04,11682.99
T00317,C0108,P060,1,2024-10-11,409.56
T00318,C0184,P069,1,2024-08-23,1425.6
T00319,C0025,P075,3,2024-07-15,1462.92
T00320,C0002,P031,2,2024-03-05,6445.3
T00321,C0106,P022,2,2023-02-11,1461.28
T00322,C0184,P057,2,2023-03-23,1093.04
T00323,C0293,P013,2,2024-04-15,2847.1
T00324,C0098,P016,1,2023-12-26,1430.62
T00325,C0151,P026,1,2023-10-23,380.89
T00326,C0147,P073,1,2024-07-12,746.29
T00327,C0035,P033,2,2023-09-27,6888.28
T00328,C0278,P006,1,2023-07-31,1454.53
T00329,C0080,P035,3,2024-03-19,8288.73
T00330,C0077,P075,3,2024-06-07,1462.92
T00331,C0018,P001,2,2023-07-21,4368.86
T00332,C0200,P042,2,2024-10-03,4292.9
T00333,C0170,P030,1,2023-01-24,679.05
T00334,C0019,P044,2,2024-06-14,5677.98
T00335,C0269,P081,1,2023-10-22,489.93
T00336,C0233,P017,1,2023-01-05,1296.99
T00337,C0146,P028,3,2023-06-11,592.38
T00338,C0089,P086,2,2024-05-24,463.08
T00339,C0108,P051,1,2023-06-16,416.31
T00340,C0041,P074,3,2024-12-23,776.97
T00341,C0207,P022,3,2024-01-09,2191.92
T00342,C0097,P054,3,2023-12-28,2842.86
T00343,C0032,P054,1,2024-04-08,947.62
T00344,C0183,P068,3,2023-05-08,3048.33
T00345,C0104,P082,3,2023-02-13,3732.72
T00346,C0152,P099,3,2023-03-11,1451.97
T00347,C0034,P048,1,2024-03-20,2672.18
T00348,C0194,P023,1,2024-09-12,361.25
T00349,C0018,P008,1,2024-03-05,2442.75
T00350,C0031,P074,2,2024-11-23,517.98
T00351,C0270,P001,2,2023-07-18,4368.86
T00352,C0204,P087,1,2024-01-01,1542.68
T00353,C0131,P003,3,2023-04-25,3602.94
T00354,C0232,P096,3,2024-08-02,1489.65
T00355,C0086,P036,3,2023-04-01,10745.07
T00356,C0292,P057,1,2023-12-11,546.52
T00357,C0017,P047,1,2023-02-25,2449.28
T00358,C0059,P046,1,2024-12-30,1026.77
T00359,C0243,P018,3,2024-08-22,5507.34
T00360,C0092,P015,3,2023-07-05,2678.25
T00361,C0261,P004,3,2024-06-25,6002.07
T00362,C0236,P028,2,2024-07-24,394.92
T00363,C0178,P049,2,2024-05-05,2393.26
T00364,C0013,P021,3,2023-11-06,2089.47
T00365,C0284,P085,3,2024-08-24,4117.59
T00366,C0278,P010,3,2024-02-14,6442.89
T00367,C0001,P019,1,2024-02-03,1558.65
T00368,C0114,P100,3,2024-01-16,248.73
T00369,C0087,P008,3,2023-08-12,7328.25
T00370,C0027,P076,1,2023-11-06,796.38
T00371,C0023,P023,3,2023-07-14,1083.75
T00372,C0058,P078,2,2024-09-29,588.42
T00373,C0071,P009,3,2024-08-12,6895.11
T00374,C0260,P007,3,2024-09-25,9833.01
T00375,C0032,P057,1,2024-12-28,546.52
T00376,C0003,P020,2,2023-12-16,2366.16
T00377,C0145,P036,3,2024-03-30,10745.07
T00378,C0205,P039,2,2023-11-07,897.2
T00379,C0114,P094,2,2024-01-11,305.16
T00380,C0256,P046,2,2023-09-10,2053.54
T00381,C0272,P066,2,2024-03-03,4110.72
T00382,C0286,P054,2,2024-04-11,1895.24
T00383,C0222,P024,2,2024-06-19,356.8
T00384,C0024,P014,2,2023-07-12,3813.98
T00385,C0048,P043,2,2024-01-20,2696.14
T00386,C0259,P029,3,2024-04-19,1217.01
T00387,C0122,P069,1,2023-01-03,1425.6
T00388,C0171,P071,2,2024-03-11,739.42
T00389,C0269,P078,3,2023-07-07,882.63
T00390,C0003,P049,1,2024-07-23,1196.63
T00391,C0297,P034,3,2024-10-12,1602.51
T00392,C0158,P011,2,2024-01-11,2624.18
T00393,C0187,P015,1,2024-07-08,892.75
T00394,C0240,P040,3,2023-07-23,1179.15
T00395,C0243,P078,3,2024-11-07,882.63
T00396,C0131,P006,3,2023-01-15,4363.59
T00397,C0117,P062,3,2023-12-30,4546.08
T00398,C0058,P021,2,2024-09-27,1392.98
T00399,C0253,P017,2,2024-02-25,2593.98
T00400,C0175,P041,2,2024-09-04,5414.28
T00401,C0266,P051,3,2023-07-28,1248.93
T00402,C0251,P053,1,2023-05-22,722.19
T00403,C0281,P019,3,2024-09-10,4675.95
T00404,C0127,P017,3,2023-01-12,3890.97
T00405,C0156,P046,3,2024-05-07,3080.31
T00406,C0264,P056,1,2023-05-30,973.6
T00407,C0117,P065,1,2023-06-16,1692.77
T00408,C0184,P055,3,2023-10-14,1803.87
T00409,C0165,P001,2,2023-04-12,4368.86
T00410,C0243,P012,1,2023-05-25,1265.35
T00411,C0229,P069,3,2023-12-27,4276.8
T00412,C0293,P035,3,2023-09-22,8288.73
T00413,C0155,P060,1,2024-03-11,409.56
T00414,C0055,P047,3,2023-02-24,7347.84
T00415,C0033,P100,1,2024-09-01,82.91
T00416,C0129,P068,3,2023-07-02,3048.33
T00417,C0063,P045,1,2024-12-13,650.42
T00418,C0269,P040,2,2024-04-27,786.1
T00419,C0022,P051,1,2023-03-05,416.31
T00420,C0157,P020,2,2024-05-08,2366.16
T00421,C0173,P043,2,2023-03-15,2696.14
T00422,C0054,P032,1,2023-05-29,1625.32
T00423,C0018,P028,3,2023-01-13,592.38
T00424,C0155,P055,3,2024-09-13,1803.87
T00425,C0205,P001,2,2024-07-22,4368.86
T00426,C0037,P088,3,2023-08-07,4490.07
T00427,C0220,P012,1,2023-03-01,1265.35
T00428,C0193,P046,2,2024-03-06,2053.54
T00429,C0052,P006,3,2023-08-22,4363.59
T00430,C0240,P056,2,2023-01-23,1947.2
T00431,C0283,P003,1,2024-07-01,1200.98
T00432,C0073,P066,1,2024-05-07,2055.36
T00433,C0241,P027,2,2024-03-06,656.8
T00434,C0021,P022,1,2024-06-18,730.64
T00435,C0029,P064,3,2023-12-24,6197.73
T00436,C0281,P012,1,2023-03-12,1265.35
T00437,C0109,P028,3,2023-03-03,592.38
T00438,C0089,P088,3,2023-04-24,4490.07
T00439,C0157,P037,2,2023-03-14,7788.66
T00440,C0187,P023,3,2023-09-30,1083.75
T00441,C0208,P072,3,2024-01-25,1715.94
T00442,C0056,P069,1,2023-01-26,1425.6
T00443,C0068,P050,3,2024-06-24,2511.66
T00444,C0028,P001,3,2023-01-10,6553.29
T00445,C0217,P028,3,2024-08-27,592.38
T00446,C0010,P048,2,2023-06-16,5344.36
T00447,C0051,P022,1,2023-01-14,730.64
T00448,C0053,P004,1,2024-02-12,2000.69
T00449,C0081,P074,3,2024-04-06,776.97
T00450,C0174,P050,2,2024-12-15,1674.44
T00451,C0124,P038,2,2024-05-10,4751.46
T00452,C0297,P036,3,2024-01-22,10745.07
T00453,C0212,P006,1,2024-03-02,1454.53
T00454,C0124,P085,2,2024-09-18,2745.06
T00455,C0153,P005,3,2023-03-09,1774.89
T00456,C0242,P004,1,2024-07-11,2000.69
T00457,C0228,P049,1,2024-10-07,1196.63
T00458,C0160,P037,1,2023-08-02,3894.33
T00459,C0227,P077,2,2023-10-12,1458.58
T00460,C0182,P063,3,2023-06-12,5923.68
T00461,C0203,P003,3,2024-09-03,3602.94
T00462,C0210,P077,2,2024-12-07,1458.58
T00463,C0178,P051,3,2024-09-08,1248.93
T00464,C0192,P053,3,2023-12-14,2166.57
T00465,C0292,P045,1,2024-06-10,650.42
T00466,C0097,P051,3,2024-07-09,1248.93
T00467,C0218,P047,3,2024-06-03,7347.84
T00468,C0019,P042,1,2023-09-02,2146.45
T00469,C0069,P055,3,2023-04-04,1803.87
T00470,C0046,P029,1,2024-08-06,405.67
T00471,C0287,P039,3,2024-10-22,1345.8
T00472,C0003,P060,2,2024-06-18,819.12
T00473,C0152,P096,1,2023-12-03,496.55
T00474,C0201,P002,3,2023-07-10,12022.83
T00475,C0209,P053,2,2024-06-10,1444.38
T00476,C0231,P022,2,2024-02-20,1461.28
T00477,C0062,P020,2,2023-02-13,2366.16
T00478,C0057,P077,1,2024-11-22,729.29
T00479,C0193,P049,1,2024-08-18,1196.63
T00480,C0191,P014,2,2024-10-03,3813.98
T00481,C0176,P085,2,2023-09-01,2745.06
T00482,C0128,P031,2,2023-07-10,6445.3
T00483,C0275,P032,3,2023-10-31,4875.96
T00484,C0034,P095,1,2024-12-20,59.94
T00485,C0242,P010,2,2024-09-07,4295.26
T00486,C0118,P012,2,2024-09-07,2530.7
T00487,C0128,P033,2,2023-06-09,6888.28
T00488,C0044,P073,2,2024-07-20,1492.58
T00489,C0060,P036,3,2023-11-17,10745.07
T00490,C0274,P006,2,2023-05-08,2909.06
T00491,C0071,P086,2,2024-08-20,463.08
T00492,C0247,P064,3,2024-02-17,6197.73
T00493,C0129,P005,1,2023-03-15,591.63
T00494,C0008,P009,3,2023-03-13,6895.11
T00495,C0202,P069,1,2023-07-22,1425.6
T00496,C0031,P039,2,2024-02-16,897.2
T00497,C0265,P070,1,2024-12-03,510.59
T00498,C0009,P070,1,2024-10-11,510.59
T00499,C0026,P021,3,2023-02-11,2089.47
T00500,C0038,P034,3,2024-10-29,1602.51
T00501,C0096,P051,3,2024-03-22,1248.93
T00502,C0144,P007,1,2023-04-27,3277.67
T00503,C0128,P031,1,2023-05-28,3222.65
T00504,C0041,P076,3,2023-04-03,2389.14
T00505,C0074,P035,3,2023-05-08,8288.73
T00506,C0207,P042,3,2024-06-14,6439.35
T00507,C0213,P050,2,2024-03-09,1674.44
T00508,C0268,P018,3,2024-02-21,5507.34
T00509,C0009,P024,3,2024-08-06,535.2
T00510,C0182,P058,2,2024-04-08,1993.94
T00511,C0284,P014,1,2024-10-14,1906.99
T00512,C0004,P077,3,2024-07-27,2187.87
T00513,C0169,P087,2,2024-08-24,3085.36
T00514,C0273,P019,2,2024-07-04,3117.3
T00515,C0279,P030,3,2023-01-04,2037.15
T00516,C0015,P015,1,2023-10-10,892.75
T00517,C0151,P072,3,2024-12-19,1715.94
T00518,C0027,P074,2,2023-03-09,517.98
T00519,C0259,P024,2,2024-04-02,356.8
T00520,C0188,P087,1,2024-02-21,1542.68
T00521,C0060,P026,3,2023-03-13,1142.67
T00522,C0070,P070,3,2023-01-31,1531.77
T00523,C0228,P042,3,2024-04-05,6439.35
T00524,C0233,P060,1,2023-01-11,409.56
T00525,C0162,P012,1,2024-08-05,1265.35
T00526,C0030,P048,1,2023-04-28,2672.18
T00527,C0203,P010,2,2023-07-04,4295.26
T00528,C0268,P018,1,2024-05-21,1835.78
T00529,C0249,P078,3,2023-03-05,882.63
T00530,C0053,P097,2,2024-11-08,921.38
T00531,C0008,P002,3,2024-10-30,12022.83
T00532,C0197,P077,3,2023-08-17,2187.87
T00533,C0299,P056,3,2024-10-30,2920.8
T00534,C0045,P003,3,2023-10-27,3602.94
T00535,C0228,P041,1,2023-12-18,2707.14
T00536,C0103,P007,2,2024-04-04,6555.34
T00537,C0042,P082,1,2023-07-03,1244.24
T00538,C0293,P049,3,2024-04-07,3589.89
T00539,C0163,P040,2,2024-11-22,786.1
T00540,C0011,P002,1,2024-09-16,4007.61
T00541,C0081,P079,2,2024-10-22,1453.96
T00542,C0073,P031,1,2023-01-07,3222.65
T00543,C0052,P001,1,2023-11-12,2184.43
T00544,C0298,P054,3,2024-01-11,2842.86
T00545,C0154,P038,3,2024-12-10,7127.19
T00546,C0201,P070,3,2024-08-15,1531.77
T00547,C0236,P050,1,2024-09-15,837.22
T00548,C0040,P017,3,2023-08-06,3890.97
T00549,C0114,P026,3,2023-06-30,1142.67
T00550,C0105,P057,1,2023-09-19,546.52
T00551,C0102,P003,1,2023-09-26,1200.98
T00552,C0084,P003,3,2023-03-02,3602.94
T00553,C0283,P094,2,2023-12-23,305.16
T00554,C0288,P017,3,2023-03-04,3890.97
T00555,C0013,P073,3,2023-11-26,2238.87
T00556,C0022,P051,3,2024-01-10,1248.93
T00557,C0157,P021,3,2024-07-27,2089.47
T00558,C0066,P050,2,2024-10-22,1674.44
T00559,C0005,P026,3,2023-08-25,1142.67
T00560,C0151,P077,3,2024-08-14,2187.87
T00561,C0241,P001,2,2024-04-21,4368.86
T00562,C0138,P047,3,2024-03-09,7347.84
T00563,C0001,P002,2,2023-11-27,8015.22
